cliente_id,edad,antiguedad_meses,saldo_promedio,num_productos,morosidad_dias,nps_score,nps_segmento,churn
10184,61,96,9295.46,4,0,9,Promotor,0
10185,61,5,750.06,4,0,6,Detractor,1
10186,37,36,3672.26,2,15,10,Promotor,0
10187,47,110,189.1,2,0,6,Detractor,1
10188,28,106,420.55,2,0,6,Detractor,1
10189,45,49,5579.02,4,0,10,Promotor,0
10190,42,106,5842.73,3,0,10,Promotor,0
10191,56,58,2088.72,1,0,6,Detractor,0
10192,50,39,1214.24,3,0,4,Detractor,0
10193,18,80,8402.26,4,0,9,Promotor,0
10194,44,97,1223.77,2,0,10,Promotor,0
10195,69,113,3904.73,2,90,8,Neutro,0
10196,30,85,17242.84,1,0,8,Neutro,1
10197,58,61,799.98,1,0,9,Promotor,0
10198,20,9,14140.61,3,0,5,Detractor,0
10199,56,6,1009.93,3,0,10,Promotor,0
10200,23,115,4190.21,1,30,6,Detractor,1
10201,25,109,2366.11,4,0,8,Neutro,0
10202,44,35,16751.85,3,0,7,Neutro,1
10203,26,39,1597.87,2,15,7,Neutro,0
10204,54,22,2551.28,2,0,8,Neutro,0
10205,50,41,20331.74,4,90,10,Promotor,0
10206,68,118,3844.43,1,30,8,Neutro,0
10207,59,5,3492.11,3,0,9,Promotor,0
10208,61,42,1490.54,2,0,1,Detractor,0
10209,41,87,6042.64,1,0,9,Promotor,0
10210,32,81,72.39,3,0,6,Detractor,0
10211,49,76,253.9,4,0,4,Detractor,0
10212,49,87,4573.44,2,0,4,Detractor,0
10213,41,80,2090.28,4,60,8,Neutro,0
10214,58,67,15321.81,4,0,10,Promotor,0
10215,69,30,11675.06,4,0,8,Neutro,0
10216,66,57,6253.68,3,0,6,Detractor,0
10217,66,86,8522.74,4,30,5,Detractor,0
10218,69,73,5503.05,3,0,7,Neutro,0
10219,29,29,670.98,3,0,2,Detractor,0
10220,56,111,7252.42,4,15,6,Detractor,0
10221,19,37,1179.83,4,30,8,Neutro,0
10222,20,87,1953.69,1,60,10,Promotor,0
10223,66,13,8552.77,2,15,7,Neutro,0
10224,54,32,3845.02,1,0,5,Detractor,0
10225,66,46,9828.45,2,0,9,Promotor,0
10226,34,116,1197.86,2,0,8,Neutro,0
10227,66,111,4679.64,1,0,9,Promotor,1
10228,19,112,437.55,1,0,5,Detractor,0
10229,19,23,5150.95,2,0,7,Neutro,0
10230,45,45,7188.65,2,60,10,Promotor,0
10231,40,17,4396.55,2,0,5,Detractor,1
10232,54,119,1547.81,3,0,8,Neutro,0
10233,49,104,159.22,2,0,5,Detractor,1
10234,50,85,636.04,4,30,7,Neutro,0
10235,18,66,4868.31,4,0,9,Promotor,0
10236,36,101,13622.44,4,0,7,Neutro,0
10237,19,6,1156.73,1,0,9,Promotor,0
10238,61,108,6640.62,1,0,7,Neutro,1
10239,43,18,10066.44,1,0,10,Promotor,0
10240,49,94,3679.04,2,60,7,Neutro,1
10241,23,22,5532.2,4,90,4,Detractor,0
10242,49,118,8437.41,2,90,7,Neutro,1
10243,21,33,1510.09,3,0,8,Neutro,0
10244,28,30,1761.25,3,60,9,Promotor,0
10245,34,81,3.14,1,90,7,Neutro,1
10246,55,107,16496.92,3,60,8,Neutro,0
10247,41,32,12477.51,4,0,9,Promotor,0
10248,22,42,7231.67,3,15,9,Promotor,0
10249,69,115,411.89,1,0,8,Neutro,0
10250,51,78,2966.54,2,30,9,Promotor,0
10251,23,10,537.32,3,0,8,Neutro,0
10252,39,111,80.24,4,0,0,Detractor,0
10253,28,115,4787.95,4,90,2,Detractor,0
10254,65,36,16199.15,4,0,10,Promotor,0
10255,33,34,11658.42,2,0,4,Detractor,0
10256,50,73,5966.07,4,90,7,Neutro,0
10257,26,106,508.17,1,90,10,Promotor,0
10258,23,28,1602.16,1,0,5,Detractor,0
10259,33,11,1928.73,4,30,9,Promotor,0
10260,46,78,7201.64,3,0,9,Promotor,0
10261,20,39,8103.74,4,0,10,Promotor,0
10262,37,119,2431.53,1,0,6,Detractor,1
10263,53,47,2705.43,1,0,6,Detractor,0
10264,36,118,227.65,1,0,10,Promotor,0
10265,43,19,1706.38,3,0,5,Detractor,0
10266,20,118,3000.88,3,60,7,Neutro,0
10267,36,15,622.05,3,0,8,Neutro,0
10268,37,28,3018.98,1,30,6,Detractor,0
10269,49,24,9592.6,2,15,10,Promotor,0
10270,24,72,4353.25,4,0,8,Neutro,0
10271,69,107,411.1,4,60,2,Detractor,1
10272,58,9,1063.93,1,30,4,Detractor,0
10273,50,47,3217.45,3,0,5,Detractor,0
10274,57,33,2243.07,2,0,5,Detractor,0
10275,56,62,2221.5,2,15,8,Neutro,0
10276,35,97,3767.33,3,15,3,Detractor,0
10277,57,19,4390.11,4,30,6,Detractor,1
10278,18,67,7969.34,4,0,10,Promotor,0
10279,28,74,2084.91,2,0,8,Neutro,0
10280,45,40,8185.75,2,0,6,Detractor,0
10281,42,47,2067.07,3,0,10,Promotor,0
10282,67,106,285.14,4,0,5,Detractor,1
10283,40,65,4039.29,2,0,10,Promotor,0
10284,48,29,4432.47,4,0,8,Neutro,0
10285,47,50,13631.6,2,15,8,Neutro,0
10286,59,98,6474.26,3,0,9,Promotor,0
10287,52,115,12491.34,4,0,7,Neutro,0
10288,24,13,11948.74,2,30,9,Promotor,0
10289,33,118,4638.96,2,90,9,Promotor,0
10290,43,1,3751.36,2,0,6,Detractor,0
10291,65,34,4075.91,2,0,7,Neutro,0
10292,69,93,19159.32,3,60,9,Promotor,0
10293,66,48,7417.72,4,0,7,Neutro,0
10294,19,111,561.73,4,15,9,Promotor,0
10295,18,77,7535.05,1,0,8,Neutro,0
10296,65,48,934.89,4,0,8,Neutro,0
10297,29,49,2965.16,1,0,1,Detractor,1
10298,22,117,1181.52,2,0,6,Detractor,1
10299,54,64,5849.19,3,0,7,Neutro,0
10300,49,61,10490.46,3,0,8,Neutro,0
10301,26,29,1715.0,2,90,8,Neutro,1
10302,58,39,427.85,1,0,8,Neutro,0
10303,52,88,1772.62,2,0,8,Neutro,0
10304,36,26,5579.23,3,30,9,Promotor,0
10305,65,17,1993.14,3,0,6,Detractor,0
10306,33,71,1629.43,4,15,8,Neutro,0
10307,20,13,1019.37,1,90,2,Detractor,1
10308,37,69,3440.96,4,0,7,Neutro,0
10309,41,26,1614.47,3,0,6,Detractor,0
10310,50,49,6565.41,3,60,6,Detractor,1
10311,41,67,398.59,4,0,6,Detractor,1
10312,69,7,5453.71,4,0,2,Detractor,1
10313,28,58,1356.16,3,60,7,Neutro,0
10314,66,49,3359.66,4,30,10,Promotor,0
10315,25,103,1684.99,4,90,6,Detractor,0
10316,53,53,6414.52,1,0,8,Neutro,0
10317,55,65,14530.1,3,0,7,Neutro,1
10318,57,113,12449.2,2,0,6,Detractor,1
10319,37,62,4378.46,1,0,3,Detractor,0
10320,52,17,3105.16,2,0,5,Detractor,0
10321,65,43,8527.01,4,0,9,Promotor,0
10322,42,25,5749.42,4,0,6,Detractor,0
10323,52,3,1014.03,2,0,4,Detractor,1
10324,42,79,8599.59,4,0,6,Detractor,0
10325,46,29,2800.82,4,0,8,Neutro,0
10326,35,117,1047.35,1,60,8,Neutro,0
10327,63,107,1655.02,2,0,6,Detractor,1
10328,35,32,1556.64,1,15,7,Neutro,0
10329,19,26,3661.59,2,30,7,Neutro,0
10330,52,16,1335.28,1,0,0,Detractor,1
10331,33,25,659.47,3,0,6,Detractor,0
10332,58,54,660.18,3,0,8,Neutro,0
10333,53,28,4376.66,2,30,8,Neutro,0
10334,50,73,6635.59,3,0,8,Neutro,0
10335,21,56,1939.6,1,15,8,Neutro,0
10336,50,65,176.33,2,90,6,Detractor,0
10337,31,93,680.39,3,90,6,Detractor,0
10338,38,86,12307.59,3,0,7,Neutro,0
10339,65,80,3401.59,2,30,8,Neutro,0
10340,37,41,3021.77,3,90,3,Detractor,1
10341,25,115,193.96,3,0,10,Promotor,1
10342,24,108,6521.49,2,0,7,Neutro,0
10343,20,51,3754.6,3,0,6,Detractor,0
10344,34,118,1128.74,3,0,8,Neutro,0
10345,50,105,583.08,3,30,2,Detractor,0
10346,65,71,2417.58,3,0,7,Neutro,0
10347,29,78,9075.0,4,30,7,Neutro,0
10348,68,29,10023.32,2,15,5,Detractor,1
10349,39,83,4617.16,4,0,9,Promotor,0
10350,39,19,6501.25,4,0,9,Promotor,0
10351,63,66,611.72,1,0,5,Detractor,1
10352,47,41,4435.19,4,30,6,Detractor,1
10353,55,45,5497.55,4,0,4,Detractor,0
10354,55,15,1120.18,1,0,9,Promotor,0
10355,62,3,10607.77,3,0,6,Detractor,0
10356,68,11,1084.54,3,60,7,Neutro,0
10357,25,53,1880.58,4,60,6,Detractor,1
10358,44,46,4845.25,1,0,6,Detractor,1
10359,44,30,5085.39,3,0,8,Neutro,0
10360,51,57,6009.62,1,15,8,Neutro,0
10361,38,104,593.98,2,0,7,Neutro,0
10362,47,18,9467.78,2,0,8,Neutro,0
10363,50,51,3805.49,2,0,7,Neutro,0
10364,45,48,3186.88,2,0,1,Detractor,0
10365,64,66,19842.34,4,0,2,Detractor,0
10366,50,96,6742.65,2,0,6,Detractor,1
10367,22,8,627.85,2,0,8,Neutro,0
10368,65,22,7064.0,1,0,10,Promotor,0
10369,36,6,500.48,3,0,1,Detractor,0
10370,21,76,139.27,1,0,6,Detractor,1
10371,52,111,2584.44,4,0,5,Detractor,0
10372,66,57,25240.26,2,0,9,Promotor,0
10373,34,104,961.16,3,90,9,Promotor,0
10374,61,36,5583.54,3,0,5,Detractor,0
10375,45,79,952.15,2,30,8,Neutro,0
10376,47,92,6451.05,2,0,8,Neutro,0
10377,46,116,3519.56,4,0,5,Detractor,0
10378,63,57,5696.73,4,0,7,Neutro,0
10379,23,49,1133.71,2,0,8,Neutro,0
10380,52,45,6844.79,2,15,1,Detractor,0
10381,58,82,27152.46,2,0,7,Neutro,0
10382,54,66,5477.84,2,0,5,Detractor,0
10383,41,77,3400.96,3,30,7,Neutro,0
10384,46,45,12831.06,4,0,9,Promotor,0
10385,66,118,79.89,2,0,7,Neutro,0
10386,63,79,6545.25,2,0,1,Detractor,0
10387,48,20,10979.72,3,0,1,Detractor,1
10388,52,64,318.29,1,0,8,Neutro,1
10389,50,93,2989.77,2,0,6,Detractor,0
10390,69,106,1145.3,3,0,8,Neutro,1
10391,38,93,4179.53,3,0,5,Detractor,1
10392,49,67,5242.59,1,15,9,Promotor,0
10393,40,83,1802.15,4,15,9,Promotor,0
10394,50,3,3080.76,4,90,9,Promotor,0
10395,20,54,1637.94,4,60,6,Detractor,1
10396,35,78,2305.35,2,60,8,Neutro,1
10397,42,64,869.03,4,15,6,Detractor,1
10398,59,40,10838.5,2,0,9,Promotor,0
10399,48,59,50.3,2,0,4,Detractor,1
10400,20,55,10702.72,3,0,9,Promotor,0
10401,57,62,4239.41,4,0,7,Neutro,0
10402,63,4,2014.78,4,30,9,Promotor,0
10403,41,60,6419.72,4,0,8,Neutro,1
10404,67,116,3543.86,2,0,6,Detractor,0
10405,49,75,3456.83,2,0,10,Promotor,0
10406,64,95,583.47,4,0,6,Detractor,0
10407,39,107,2467.52,2,0,10,Promotor,0
10408,40,96,1379.19,2,0,9,Promotor,0
10409,19,91,79.1,1,0,10,Promotor,0
10410,44,30,2232.21,1,0,2,Detractor,0
10411,59,107,470.58,4,0,6,Detractor,1
10412,19,2,1484.15,4,0,8,Neutro,0
10413,43,62,485.4,1,30,10,Promotor,0
10414,34,49,532.04,2,0,1,Detractor,1
10415,57,9,1109.54,2,0,0,Detractor,0
10416,50,92,43999.26,3,90,6,Detractor,1
10417,26,31,10.93,4,0,9,Promotor,0
10418,60,98,5089.85,4,0,9,Promotor,0
10419,65,61,761.35,4,0,6,Detractor,0
10420,56,79,12668.06,3,30,0,Detractor,0
10421,46,48,491.55,3,0,8,Neutro,0
10422,59,25,15512.49,2,0,5,Detractor,0
10423,43,36,4719.93,1,15,8,Neutro,0
10424,52,8,6.34,1,0,7,Neutro,1
10425,67,73,11221.92,1,30,8,Neutro,0
10426,42,58,3687.71,2,0,9,Promotor,0
10427,41,101,1523.6,1,0,7,Neutro,0
10428,30,112,7289.58,3,15,6,Detractor,0
10429,24,45,13063.62,3,0,9,Promotor,0
10430,53,62,3305.25,4,30,6,Detractor,0
10431,62,39,1895.72,1,90,9,Promotor,0
10432,37,96,7778.19,3,0,3,Detractor,1
10433,18,58,5725.15,4,60,9,Promotor,1
10434,25,116,10979.99,1,0,3,Detractor,1
10435,63,81,5896.63,1,30,2,Detractor,0
10436,33,99,1395.45,3,0,6,Detractor,0
10437,31,101,13416.25,4,0,10,Promotor,0
10438,29,83,553.74,4,0,10,Promotor,0
10439,68,64,1559.48,3,0,5,Detractor,1
10440,40,44,3671.87,3,0,4,Detractor,1
10441,32,29,4170.58,3,60,6,Detractor,0
10442,45,59,77.15,1,30,6,Detractor,0
10443,51,71,7583.67,3,0,9,Promotor,0
10444,19,92,2244.01,3,0,7,Neutro,1
10445,49,9,2607.9,2,30,9,Promotor,0
10446,40,92,8287.09,3,0,8,Neutro,0
10447,39,6,2384.4,3,0,8,Neutro,0
10448,68,29,241.88,1,0,9,Promotor,0
10449,42,58,970.59,4,0,5,Detractor,0
10450,39,17,15606.84,1,0,5,Detractor,0
10451,39,16,365.03,2,15,9,Promotor,0
10452,66,87,2191.99,3,0,5,Detractor,0
10453,69,95,3497.63,3,0,0,Detractor,0
10454,59,3,3398.99,3,60,10,Promotor,0
10455,23,21,19.84,3,0,8,Neutro,0
10456,32,64,3477.38,3,0,7,Neutro,1
10457,60,90,2420.69,3,0,8,Neutro,0
10458,54,36,17891.94,2,0,6,Detractor,1
10459,50,106,866.76,3,0,10,Promotor,0
10460,25,101,2185.97,3,0,2,Detractor,0
10461,61,117,2719.17,3,0,8,Neutro,0
10462,61,86,2477.17,2,0,9,Promotor,0
10463,22,62,5480.54,3,0,7,Neutro,0
10464,56,42,1213.63,2,15,9,Promotor,0
10465,21,76,1249.18,1,0,10,Promotor,0
10466,23,42,6532.08,3,0,8,Neutro,0
10467,62,61,3468.64,4,60,6,Detractor,1
10468,49,13,2682.05,2,0,8,Neutro,0
10469,69,11,926.85,1,0,10,Promotor,0
10470,47,54,1038.36,2,0,7,Neutro,0
10471,64,16,53.04,2,30,8,Neutro,0
10472,52,8,479.4,1,0,7,Neutro,0
10473,57,104,4069.11,3,0,4,Detractor,0
10474,69,59,11122.25,3,0,2,Detractor,1
10475,33,57,1692.52,2,0,10,Promotor,0
10476,30,40,1985.6,1,15,8,Neutro,0
10477,67,109,614.26,3,0,4,Detractor,0
10478,59,59,2460.27,2,0,9,Promotor,0
10479,47,2,189.66,4,90,7,Neutro,1
10480,36,94,12480.89,1,0,9,Promotor,1
10481,34,94,5590.68,4,0,4,Detractor,1
10482,36,76,23415.02,4,0,10,Promotor,0
10483,45,10,10720.36,2,30,8,Neutro,0
10484,43,44,3202.68,1,15,8,Neutro,0
10485,54,11,3666.57,3,60,1,Detractor,0
10486,43,79,1057.16,3,0,6,Detractor,0
10487,40,80,3099.85,2,0,6,Detractor,0
10488,26,81,11666.66,3,0,10,Promotor,0
10489,29,90,260.96,3,30,5,Detractor,0
10490,18,2,9959.23,4,0,8,Neutro,0
10491,18,50,2084.76,4,0,2,Detractor,0
10492,64,12,11488.62,1,15,5,Detractor,0
10493,51,115,14140.92,4,0,6,Detractor,0
10494,49,90,5556.43,3,0,9,Promotor,0
10495,65,23,5459.53,1,30,9,Promotor,0
10496,42,18,3014.29,1,0,10,Promotor,0
10497,57,62,9025.45,2,0,10,Promotor,0
10498,62,96,16300.15,4,0,3,Detractor,1
10499,18,113,7460.09,1,0,9,Promotor,0
10500,33,62,4863.47,3,0,7,Neutro,0
10501,56,38,4667.09,1,0,9,Promotor,0
10502,22,111,9467.96,1,0,3,Detractor,1
10503,39,67,3895.75,2,60,9,Promotor,0
10504,46,38,8144.63,3,0,5,Detractor,0
10505,20,67,3555.39,3,0,6,Detractor,1
10506,29,94,322.4,4,0,1,Detractor,0
10507,43,61,2422.11,3,15,4,Detractor,0
10508,33,1,2938.9,1,0,7,Neutro,0
10509,68,94,763.53,3,30,9,Promotor,0
10510,54,45,540.69,3,15,9,Promotor,1
10511,39,96,3833.59,1,60,5,Detractor,1
10512,46,28,444.94,2,15,5,Detractor,1
10513,31,21,1804.46,4,0,6,Detractor,0
10514,45,110,6824.56,4,30,9,Promotor,0
10515,22,13,16681.57,2,60,3,Detractor,1
10516,64,27,6326.95,1,90,7,Neutro,0
10517,66,100,24548.67,4,0,3,Detractor,0
10518,47,7,5992.24,2,0,7,Neutro,0
10519,63,22,1739.24,2,0,4,Detractor,0
10520,69,74,5574.51,2,0,3,Detractor,0
10521,22,103,6055.94,4,15,5,Detractor,0
10522,29,53,2323.9,4,90,6,Detractor,1
10523,33,79,89.36,4,0,6,Detractor,0
10524,43,79,6073.48,4,30,8,Neutro,0
10525,43,4,109.7,3,0,2,Detractor,0
10526,65,96,4987.34,2,0,3,Detractor,1
10527,38,23,893.34,3,0,5,Detractor,0
10528,56,119,4168.99,2,0,9,Promotor,0
10529,53,70,3505.02,4,30,8,Neutro,0
10530,50,88,68.03,4,0,8,Neutro,0
10531,47,84,2253.87,3,0,6,Detractor,0
10532,54,101,4595.11,1,0,5,Detractor,0
10533,40,84,9439.37,4,0,1,Detractor,0
10534,27,76,10975.03,1,60,7,Neutro,0
10535,22,33,3306.79,2,0,8,Neutro,0
10536,53,28,6517.54,3,0,9,Promotor,0
10537,51,8,1902.31,1,30,9,Promotor,0
10538,69,1,2094.17,1,0,7,Neutro,0
10539,48,37,1081.23,4,30,7,Neutro,0
10540,27,63,4127.09,1,0,5,Detractor,1
10541,36,22,1888.5,1,0,6,Detractor,0
10542,49,70,440.72,2,90,10,Promotor,0
10543,18,21,5776.01,3,30,4,Detractor,1
10544,22,96,6150.78,4,0,10,Promotor,0
10545,62,35,2231.38,4,0,7,Neutro,0
10546,21,79,399.13,1,60,7,Neutro,0
10547,33,5,2778.22,2,0,5,Detractor,0
10548,41,60,2919.99,1,0,8,Neutro,0
10549,33,46,5523.22,1,0,7,Neutro,0
10550,19,50,1894.72,4,0,6,Detractor,1
10551,66,48,5737.95,1,0,6,Detractor,0
10552,45,6,10258.69,1,30,2,Detractor,0
10553,49,89,1355.67,2,0,7,Neutro,0
10554,44,56,19297.05,4,30,6,Detractor,0
10555,37,110,2441.8,3,0,8,Neutro,0
10556,41,59,1554.81,2,0,8,Neutro,0
10557,29,104,2736.68,2,0,6,Detractor,0
10558,67,29,495.77,2,0,8,Neutro,0
10559,52,71,671.69,4,0,6,Detractor,0
